allowed_values_levels,trait,categorical_trait_description,categorical_trait_synonyms,categorical_trait_identifier
axile,flower_gynoecium_placentation,Ovules are placed in the angle between carpel flanks in the center of the ovary; in syncarpous gynoecia.,NA,flower_gynoecium_placentation_axile
apical,flower_gynoecium_placentation,Ovules attach at the top of the ovary; pendulous; in syncarpous gynoecia and apocarpous and unicarpellate gynoecia.,NA,flower_gynoecium_placentation_apical
basal,flower_gynoecium_placentation,Ovules attach at the base of the ovary; in syncarpous gynoecia and apocarpous and unicarpellate gynoecia.,NA,flower_gynoecium_placentation_basal
parietal,flower_gynoecium_placentation,Ovules attach to the ovary wall where two carpels meet; in syncarpous gynoecia.,NA,flower_gynoecium_placentation_parietal
marginal,flower_gynoecium_placentation,Ovules attach along the ventral slit; in apocarpous and unicarpellate gynoecia.,NA,flower_gynoecium_placentation_marginal
free_central,flower_gynoecium_placentation,Ovules are attached to a central column that emerges from the base of the ovary and protrudes into the non-septate ovary; in syncarpous gynoecia.,NA,flower_gynoecium_placentation_free_central
laminar,flower_gynoecium_placentation,When there is more than one series of ovules at the flanks of a carpel; in syncarpous gynoecia and apocarpous and unicarpellate gynoecia.,NA,flower_gynoecium_placentation_laminar
absent,flower_pollen_aperture_shape,Pollen that lacks an aperture.,NA,flower_pollen_aperture_shape_absent
colporus,flower_pollen_aperture_shape,Pollen aperture shape that combines the groove of colpate and the pore of porate apertures.,NA,flower_pollen_aperture_shape_colporus
colpus,flower_pollen_aperture_shape,Pollen aperture shape is elongate and grooved and may be positioned globally or equatorially.,NA,flower_pollen_aperture_shape_colpus
pore,flower_pollen_aperture_shape,Pollen aperture shape is round and pore-like and may be positioned globally or equatorially.,NA,flower_pollen_aperture_shape_pore
ring_like,flower_pollen_aperture_shape,Aperture that completely encircles the pollen.,NA,flower_pollen_aperture_shape_ring_like
spiraperturate,flower_pollen_aperture_shape,Pollen grain with one or more spiral apertures.,NA,flower_pollen_aperture_shape_spiraperturate
sulcus,flower_pollen_aperture_shape,Pollen aperture shape is elongate and grooved and positioned at the pole.,NA,flower_pollen_aperture_shape_sulcus
syncolpus,flower_pollen_aperture_shape,"Pollen grain with two or more simple (or compound) colpi, the ends of which join at the pole.",NA,flower_pollen_aperture_shape_syncolpus
ulcus,flower_pollen_aperture_shape,Pollen aperture shape is round and pore-like and positioned at the pole.,NA,flower_pollen_aperture_shape_ulcus
pink,fruit_colour,Fruit's exocarp is pink.,NA,fruit_colour_pink
red,fruit_colour,Fruit's exocarp is red.,NA,fruit_colour_red
orange,fruit_colour,Fruit's exocarp is orange.,NA,fruit_colour_orange
yellow,fruit_colour,Fruit's exocarp is yellow.,NA,fruit_colour_yellow
green,fruit_colour,Fruit's exocarp is green.,NA,fruit_colour_green
blue,fruit_colour,Fruit's exocarp is blue.,NA,fruit_colour_blue
purple,fruit_colour,Fruit's exocarp is purple.,NA,fruit_colour_purple
white,fruit_colour,Fruit's exocarp is white.,NA,fruit_colour_white
cream,fruit_colour,Fruit's exocarp is cream.,NA,fruit_colour_cream
brown,fruit_colour,Fruit's exocarp is brown.,NA,fruit_colour_brown
black,fruit_colour,Fruit's exocarp is black.,NA,fruit_colour_black
grey,fruit_colour,Fruit's exocarp is grey.,NA,fruit_colour_grey
achene,fruit_type,"A simple, dry, indehiscent fruit with a single seed that is attached to the pericarp at one point only.",cypsela,fruit_type_achene
anthocarp,fruit_type,A ripened ovary surrounded by attached accessory floral tissues; the floral tissues may be fleshy or dry.,"accessory_fruit, pseudocarp, diclesium",fruit_type_anthocarp
berry,fruit_type,"A simple, indehiscent fruit with one to many seeds embedded in a fleshy pericarp.",NA,fruit_type_berry
capsule,fruit_type,"A dry, dehiscent fruit composed of two or more united carpels; different types of capsules distinguished by type of dehiscence (e.g. valves, slits, pores).",NA,fruit_type_capsule
caryopsis,fruit_type,"A simple, dry, indehiscent fruit with a single seed which is fused to the pericarp at one point only; the fruit type of all Poaceae",grain,fruit_type_caryopsis
compound_fruit_other,fruit_type,A fruit derived from more than one flower.,aggregate_fruit,fruit_type_compound_fruit_other
drupe,fruit_type,"A simple indehiscent fruit with a hard, stony endocarp and a fleshy mesocarp.",NA,fruit_type_drupe
follicle,fruit_type,"A dry, dehiscent fruit derived from a single carpel that splits along one suture.",NA,fruit_type_follicle
legume,fruit_type,"A dry, dehiscent fruit derived from a single carpel that splits along two sutures; applies to Fabaceae.",pod,fruit_type_legume
legume_indehiscent,fruit_type,"A dry, indehiscent fruit derived from a single carpel; applies to Fabaceae.",NA,fruit_type_legume_indehiscent
mericarp,fruit_type,"A fruitlet (seed-containing portion of a fruit) that is a half-carpel; the individual fruitlets separate from one another at maturity; a specific type of schizocarp. (In some datasets, term likely refers to any fruitlet derived from a portion of a schizocarp that separates at maturity, not explicitly just a half-carpel.)",NA,fruit_type_mericarp
multiple_fruit,fruit_type,"A fruit composed of several fruitlets developing from a single flower (e.g. raspberries, magnolias); fruits developing from more than one flower are included under compound (aggregate) fruits.",apocarp,fruit_type_multiple_fruit
nut,fruit_type,"A simple, dry, indehiscent fruit with a single seed and a hard pericarp.",NA,fruit_type_nut
nutlet,fruit_type,"A diminutive of nut, referring to a simple, dry, indehiscent structure with a single seed that might be an entire fruit (nut; monocarp) or a portion of a fruit, such as the individual components derived from an apocarp (fruit with multiple unfused ovaries) or schizocarp (fruit with multiple ovaries that separate at maturity).",NA,fruit_type_nutlet
pepo,fruit_type,"A fleshy fruit derived from a single ovary that is divided into several carpels, has multiple seeds, and has a tough rind when mature.",NA,fruit_type_pepo
pome,fruit_type,A fleshy fruit with the bulk of the fleshy tissue derived from flora tissue that surrounds the inferior ovary.,NA,fruit_type_pome
pyrene,fruit_type,A fleshy fruit in which the seed(s) are covered by a hard layer of endocarp.,NA,fruit_type_pyrene
samara,fruit_type,"A winged, dry fruit.",NA,fruit_type_samara
schizocarp,fruit_type,"Category that includes all fruits derived from a compound pistil that separate into individual carpellary constituents at maturity; broad terms that includes dry and fleshy fruits, some with accessory tissues, others without. The individual seed-containing units that a schizocarp breaks apart into include mericarps, nutlets, and fruitlets.",NA,fruit_type_schizocarp
silique,fruit_type,"A type of capsule (dry, dehiscent fruit) where the fruit is divided into two parts by a thin partition; more than three times as long as wide; applies to Brassicaceae","silicle, siliqua",fruit_type_silique
strobilus,fruit_type,"A modified reproductive shoot system found in many nonflowering plants, especially gymnosperms, comprised of overlapping bracts (scales).",cone,fruit_type_strobilus
syncarp,fruit_type,A compound fruit produced by the adhesion of the fruits from several flowers.,NA,fruit_type_syncarp
syconium,fruit_type,"A fleshy compound fruit, in which the fruitlets are enclosed in accessory material, such as the hollow-centered fruits of Moraceae.","synconium, fig",fruit_type_syconium
utricle,fruit_type,A bladdery or inflated dry fruit with a single seed; essential an achene in which the pericarp is significantly larger than the mature seed.,NA,fruit_type_utricle
dry,fruit_fleshiness,Fruits are dry when mature and fresh.,NA,fruit_fleshiness_dry
fleshy,fruit_fleshiness,Fruits are fleshy when mature and fresh.,NA,fruit_fleshiness_fleshy
dehiscent,fruit_dehiscence,Fruits are dehiscent when mature.,NA,fruit_dehiscence_dehiscent
indehiscent,fruit_dehiscence,Fruits are indehiscent when mature.,NA,fruit_dehiscence_indehiscent
dry,diaspore_fleshiness,"Diaspores where the true fruit, accessory tissues and dispersal appendages are all dry when mature.",NA,diaspore_fleshiness_dry
fleshy,diaspore_fleshiness,"Diaspores where either the true fruit, accessory tissues or dispersal appendages are fleshy when mature.",NA,diaspore_fleshiness_fleshy
after_ripening,seed_germination_treatment,"Seed germinates more readily after a period of warm, dry storage.",NA,seed_germination_treatment_after_ripening
chemical_treatment,seed_germination_treatment,Seed germinates more readily after a chemical treatment.,NA,seed_germination_treatment_chemical_treatment
cold,seed_germination_treatment,Seed germinates more readily after cold treatment.,NA,seed_germination_treatment_cold
dark,seed_germination_treatment,Seed germinates more readily after being stored in the dark.,NA,seed_germination_treatment_dark
heat,seed_germination_treatment,Seed germinates more readily after being heated.,NA,seed_germination_treatment_heat
heat_lethal,seed_germination_treatment,"Seed is heat sensitive. (A fire response, more than a treatment to break dormancy.)",NA,seed_germination_treatment_heat_lethal
heat+smoke,seed_germination_treatment,Seed germinates more readily after a treatment that merges heat and smoke.,NA,seed_germination_treatment_heat+smoke
imbibe_hot,seed_germination_treatment,Seed germinates more readily after being soaked in hot water; water temperature usually between 70 deg C to just below boiling.,NA,seed_germination_treatment_imbibe_hot
leaching,seed_germination_treatment,Seed germinates more readily after leaching out certain chemicals.,NA,seed_germination_treatment_leaching
light,seed_germination_treatment,Seed germinates more readily after light exposure.,NA,seed_germination_treatment_light
mycorrhizae,seed_germination_treatment,Seed germinates more readily if infected by a mycorrhizal symbiont.,NA,seed_germination_treatment_mycorrhizae
none,seed_germination_treatment,No treatment required for seed to display high germination rates.,NA,seed_germination_treatment_none
rain,seed_germination_treatment,Seed germinates more readily after rain.,NA,seed_germination_treatment_rain
scarify,seed_germination_treatment,"Seed coat is removed, nicked, or otherwise punctured to increase germination.",NA,seed_germination_treatment_scarify
smoke,seed_germination_treatment,Seed germinates more readily after being subjected to a smoke treatment; includes smoked water.,NA,seed_germination_treatment_smoke
stratification,seed_germination_treatment,Seed germinates more readily after being stored in moist conditions; not specified if the treatment was `cold stratification` or `warm stratification`.,NA,seed_germination_treatment_stratification
stratification_cold,seed_germination_treatment,"Seed germinates more readily after a period of cold, wet storage.",NA,seed_germination_treatment_stratification_cold
stratification_warm,seed_germination_treatment,"Seed germinates more readily after a period of warm, wet storage.",NA,seed_germination_treatment_stratification_warm
glabrous,seedling_hypocotyl_hairs,Hypocotyl lacks hairs.,NA,seedling_hypocotyl_hairs_glabrous
hairy,seedling_hypocotyl_hairs,Hypocotyl has hairs.,NA,seedling_hypocotyl_hairs_hairy
not_applicable,plant_tolerance_inundation,Taxa is not typically confronted with being inundated and its response is unknown.,NA,plant_tolerance_inundation_not_applicable
less_than_1_month,plant_tolerance_inundation,Taxa able to tolerate being inundated for less than 1 month.,NA,plant_tolerance_inundation_less_than_1_month
1-6_months,plant_tolerance_inundation,Taxa able to tolerate being inundated for 1-6 months.,NA,plant_tolerance_inundation_1-6_months
greater_than_6_months,plant_tolerance_inundation,Taxa able to tolerate being inundated for  more than 6 months.,NA,plant_tolerance_inundation_greater_than_6_months
aquatic,plant_tolerance_inundation,Taxa truly aquatic and able to be permanently inundated.,NA,plant_tolerance_inundation_aquatic
terrestrial_dry,plant_flood_regime_classification,"Species which germinate, grow and reproduce where there is no surface water and the water table is below the soil surface. (Dry species; Tdr)",NA,plant_flood_regime_classification_terrestrial_dry
terrestrial_damp,plant_flood_regime_classification,"Species which germinate, grow and reproduce on saturated soil. (Damp species; Tda)",NA,plant_flood_regime_classification_terrestrial_damp
amphibious_fluctuation_tolerators_emergent,plant_flood_regime_classification,"Species which germinate in damp or flooded conditions, which tolerate variation in water level, and which grow with their basal portions under water and reproduce out of water. (Emergent species; ATe)",NA,plant_flood_regime_classification_amphibious_fluctuation_tolerators_emergent
amphibious_fluctuation_tolerators_low,plant_flood_regime_classification,"Species which germinate in damp or flooded conditions, which tolerate variation in water level, which are low-growing and tolerate complete submersion when water-levels rise. (Low-growing species; ATl)",NA,plant_flood_regime_classification_amphibious_fluctuation_tolerators_low
amphibious_fluctuation_responders_plastic,plant_flood_regime_classification,"Species which germinate in flooded conditions, grow in both flooded and damp conditions, reproduce above the surface of the water, and which have morphological plasticity (e.g. heterophylly) in response to water-level variation. (Morphologically plastic species; ARp)",NA,plant_flood_regime_classification_amphibious_fluctuation_responders_plastic
amphibious_fluctuation_responders_floating,plant_flood_regime_classification,"Species which germinate in flooded conditions, grow in both flooded and damp conditions, reproduce above the surface of the water, and which have floating leaves when inundated. (Species with floating leaves; ARf)",NA,plant_flood_regime_classification_amphibious_fluctuation_responders_floating
amphibious,plant_flood_regime_classification,Species which germinate in damp or flooded conditions and can grow in or our of water.,NA,plant_flood_regime_classification_amphibious
submerged,plant_flood_regime_classification,"Species which germinate, grow and reproduce underwater. (S",NA,plant_flood_regime_classification_submerged
pendulous,leaf_pendulousness,Leaves are pendulous.,NA,leaf_pendulousness_pendulous
not_pendulous,leaf_pendulousness,Leaves are not pendulous.,NA,leaf_pendulousness_not_pendulous
decussate,leaf_arrangement,When sequential pairs of opposite leaves attach at right angles to the pair above or below.,NA,leaf_arrangement_decussate
distichous,leaf_arrangement,When alternate or opposite leaves are arranged in two opposite rows.,NA,leaf_arrangement_distichous
scattered,leaf_arrangement,When leaves are attached along the entire length of stem.,NA,leaf_arrangement_scattered
spiral,leaf_arrangement,When alternate leaves are attached in a progressive spiral pattern along the stem.,NA,leaf_arrangement_spiral
fasciculate,leaf_arrangement,"A tight bundle or cluster of leaves attaches to the stem in a single location, generally due to the shortening of internodes.",tufted,leaf_arrangement_fasciculate
clustered,leaf_arrangement,"When leaves are in any type of cluster, where the type of cluster is not further specified. The leaves may be clustered toward the base of the plant (a rosette), toward the top of the plant, toward the end of branches, or in distinct tuft (fascicles), but more information is not provided.",NA,leaf_arrangement_clustered
clustered_basal,leaf_arrangement,"When leaves are clustered or crowded to the base of the stem, arranged in a rosette or other basal clustering.",rosette,leaf_arrangement_clustered_basal
crowded,leaf_arrangement,"When internode length varies considerably along a stem, such that leaves appear crowded or tufted.",congested,leaf_arrangement_crowded
rosette,leaf_arrangement,When leaves radiate from a central point at or near ground level.,NA,leaf_arrangement_rosette
imbricate,leaf_arrangement,When leaves lay tightly against the stem and are overlapping.,NA,leaf_arrangement_imbricate
alternate,leaf_phyllotaxis,A single leaf is attached at each stem node.,NA,leaf_phyllotaxis_alternate
opposite,leaf_phyllotaxis,A pair of leaves are attached opposite to one another at each stem node.,NA,leaf_phyllotaxis_opposite
whorled,leaf_phyllotaxis,"Three or more leaves are attached at each stem node, arranged in a symmetrical pattern around the stem.",verticillate,leaf_phyllotaxis_whorled
glaucous,leaf_glaucousness,"Mature (fully expanded) leaves on adult plants have a waxy coating, giving them a glaucous appearance.","waxy bloom, pruinose",leaf_glaucousness_glaucous
not_glaucous,leaf_glaucousness,Mature (fully expanded) leaves on adult plants do not have a glaucous appearance.,NA,leaf_glaucousness_not_glaucous
glabrous,leaf_hairs_adult_leaves,Mature (fully expanded) leaves on adult plants do not have hairs (trichomes).,NA,leaf_hairs_adult_leaves_glabrous
hairy,leaf_hairs_adult_leaves,Mature (fully expanded) leaves on adult plants have hairs (trichomes).,NA,leaf_hairs_adult_leaves_hairy
glabrous,leaf_hairs_immature_leaves,Immature (still expanding) leaves do not have hairs (trichomes).,NA,leaf_hairs_immature_leaves_glabrous
hairy,leaf_hairs_immature_leaves,Immature (still expanding) leaves have hairs (trichomes).,NA,leaf_hairs_immature_leaves_hairy
glabrous,leaf_hairs_juvenile_leaves,Juvenile phase leaves do not have hairs (trichomes).,NA,leaf_hairs_juvenile_leaves_glabrous
hairy,leaf_hairs_juvenile_leaves,Juvenile phase leaves have hairs (trichomes).,NA,leaf_hairs_juvenile_leaves_hairy
entire,leaf_margin,Leaf margin lacks projections or indentations that extend less than 1/8 of the distance to the midrib.,NA,leaf_margin_entire
toothed,leaf_margin,"Leaf margin has small projections or lobes along the edge of the leaf lamina. This is a broad term that includes serrate, dentate, and crenulate.",NA,leaf_margin_toothed
toothed_serrate,leaf_margin,Type of toothed leaf margin with sharp teeth that are angled toward the tip of the leaf.,saw-toothed,leaf_margin_toothed_serrate
toothed_dentate,leaf_margin,Type of toothed leaf margin with sharp teeth that point outwards at right angles to the leaf margin.,NA,leaf_margin_toothed_dentate
toothed_crenate,leaf_margin,"Type of toothed leaf margin with teeth that are rounded or obtuse, rather than having a sharp apex. [PO:0025519]",NA,leaf_margin_toothed_crenate
involute,leaf_margin_posture,"Leaf margins along the side of the leaf are rolled upward, such that the margin of the adaxial (upper) leaf surface is rolled inward.","inrolled, incurved",leaf_margin_posture_involute
revolute,leaf_margin_posture,"Leaf margins along the side of the leaf are rolled under or downward, such that the margin of the abaxial (lower) leaf surface is rolled inward. [PATO:0001963]",recurved,leaf_margin_posture_revolute
flat,leaf_margin_posture,"Leaf lamina, including margins, is a 2-dimensional plane. [PATO:0000407]",NA,leaf_margin_posture_flat
undulate,leaf_margin_posture,Leaf margins are wavy in their 2-dimensional plane.,"wavy, rippled, sinuate",leaf_margin_posture_undulate
concave,leaf_lamina_posture,"A longitudinal posture term indicating the leaf lamina is curved upward along the central axis, such that the upper leaf lamina surface is concave.",NA,leaf_lamina_posture_concave
conduplicate,leaf_lamina_posture,A longitudinal posture term indicating the leaf lamina is folded upward along the central axis.,folded,leaf_lamina_posture_conduplicate
convex,leaf_lamina_posture,"A longitudinal posture term indicating the leaf lamina is curved downward along the central axis, such that the lower leaf lamina surface is concave.","concavoconvex, planoconvex",leaf_lamina_posture_convex
convolute,leaf_lamina_posture,Leaf lamina is contorted.,twisted,leaf_lamina_posture_convolute
flat,leaf_lamina_posture,The leaf lamina is a 2-dimensional plane.,NA,leaf_lamina_posture_flat
incurved,leaf_lamina_posture,Leaf tip is curved upward.,NA,leaf_lamina_posture_incurved
involute,leaf_lamina_posture,A longitudinal posture term indicating the outer portions of the leaf lamina are rolled inward or upward.,NA,leaf_lamina_posture_involute
plicate,leaf_lamina_posture,"Leaf margin is pleated, with a series of longitudinal folds.",NA,leaf_lamina_posture_plicate
recurved,leaf_lamina_posture,Leaf tip is curved outward or downward. [PATO:0002211],NA,leaf_lamina_posture_recurved
revolute,leaf_lamina_posture,A longitudinal posture term indicating the outer portions of the leaf lamina are rolled outward or downward.,NA,leaf_lamina_posture_revolute
undulate,leaf_lamina_posture,The leaf lamina surface is rippled or wavy in its 2-dimensional plane. [PATO:0000967] ,"wavy, rippled, sinuate",leaf_lamina_posture_undulate
unlobed,leaf_lobation,Leaf margin lacks projections or indentations that extend more than 1/8 of the distance to the midrib.,NA,leaf_lobation_unlobed
lobed,leaf_lobation,"Leaf margin has incisions, either rounded or sharp-tipped, that extend more than 1/8 of the distance to the midrib.",NA,leaf_lobation_lobed
lobed_deep,leaf_lobation,Leaf margin with lobes that extend more than halfway to the midrib.,"parted, divided",leaf_lobation_lobed_deep
lobed_shallow,leaf_lobation,Leaf margin with lobes that extend less than halfway to the midrib.,"cleft, sinuate",leaf_lobation_lobed_shallow
simple,leaf_compoundness,A leaf with a single undivided blade. [PO:0020042],NA,leaf_compoundness_simple
compound,leaf_compoundness,A leaf that is divided into multiple leaflets. [PO:0020043],NA,leaf_compoundness_compound
pinnately_lobed,leaf_lamina_division,"Leaf with divisions that are symmetrical across a central axis, usually the midvein.",NA,leaf_lamina_division_pinnately_lobed
palmately_lobed,leaf_lamina_division,"Leaf with divisions that radiate from a single point, usually the basal junction of major veins.",NA,leaf_lamina_division_palmately_lobed
pinnatifid,leaf_lamina_division,Leaf with lobes that extend less than half-way to the midrib.,NA,leaf_lamina_division_pinnatifid
bipinnatifid,leaf_lamina_division,"Leaf that is twice pinnatifid, with two series of lobes that extend less than half-way to the midrib.",NA,leaf_lamina_division_bipinnatifid
pinnatipartite,leaf_lamina_division,Leaf with lobes that extend more than half-way to the midrib.,NA,leaf_lamina_division_pinnatipartite
pinnatisect,leaf_lamina_division,Leaf with lobes that extend nearly to the midrib but the divisions are not separated into distinct leaflets.,NA,leaf_lamina_division_pinnatisect
bipinnatipartite,leaf_lamina_division,"Leaf that is twice pinnatipartite, with two series of lobes that extend more than half-way to the midrib.",NA,leaf_lamina_division_bipinnatipartite
bipinnatisect,leaf_lamina_division,"Leaf that is twice pinnatisect, with two series of lobes that extend nearly to the midrib but the divisions are not separated into distinct leaflets.",NA,leaf_lamina_division_bipinnatisect
trichotomously_lobed,leaf_lamina_division,Leaf divided repeatedly into three lobes.,NA,leaf_lamina_division_trichotomously_lobed
dichotomously_lobed,leaf_lamina_division,Leaf divided repeatedly into two lobes.,NA,leaf_lamina_division_dichotomously_lobed
bipartite,leaf_lamina_division,Leaf divided into two lobes.,NA,leaf_lamina_division_bipartite
tripartite,leaf_lamina_division,Leaf divided into three lobes.,NA,leaf_lamina_division_tripartite
pinnately_compound,leaf_lamina_division,Leaf divided into leaflets that attach along a central axis. [PATO_0000410],NA,leaf_lamina_division_pinnately_compound
palmately_compound,leaf_lamina_division,Leaf divided into leaflets that attach to a central point.,digitate,leaf_lamina_division_palmately_compound
bipinnate,leaf_lamina_division,"Leaf that is twice pinnate, having pinnate leaflets that are themselves pinnately divided.",NA,leaf_lamina_division_bipinnate
tripinnate,leaf_lamina_division,"Leaf that is three times pinnate, with pinnate leaflets that are twice more pinnately divided.",NA,leaf_lamina_division_tripinnate
trifoliate,leaf_lamina_division,Leaf divided into three leaflets.,"ternate, trifoliolate",leaf_lamina_division_trifoliate
deciduous,leaf_phenology,"Plant loses its entire leaf canopy for part of the year, in response to either drought or cold.",NA,leaf_phenology_deciduous
evergreen,leaf_phenology,Plant retains a leaf canopy throughout the year.,NA,leaf_phenology_evergreen
cold_deciduous,leaf_phenology,"Plant loses its entire leaf canopy for part of the year, in response to cold.",NA,leaf_phenology_cold_deciduous
drought_deciduous,leaf_phenology,"Plant loses its entire leaf canopy for part of the year, in response to drought.",NA,leaf_phenology_drought_deciduous
facultative_drought_deciduous,leaf_phenology,"Plant sometimes loses its leaf canopy for part of the year, in response to drought.",NA,leaf_phenology_facultative_drought_deciduous
semi_deciduous,leaf_phenology,"Plant thins, but does not entirely lose, its leaf canopy in response to an environmental cue, usually drought.",NA,leaf_phenology_semi_deciduous
brevi_deciduous,leaf_phenology,Plant briefly loses its entire leaf canopy but flushes a new leaf canopy almost simultaneously to leaf loss.,NA,leaf_phenology_brevi_deciduous
linear,leaf_shape,"A 2-dimensional shape that is very long and narrow, has parallel sides and a length:width ratio between 12:1 and 6:1.",NA,leaf_shape_linear
narrowly_oblong,leaf_shape,"A 2-dimensional shape that is long and narrow, has parallel sides and a length:width ratio between 6:1 and 3:1.",lorate,leaf_shape_narrowly_oblong
oblong,leaf_shape,A 2-dimensional shape that is somewhat elongated with parallel sides and a length:width ratio between 2:1 and 3:2.,NA,leaf_shape_oblong
linear_elliptical,leaf_shape,"A 2-dimensional shape that is a very narrow oval, with curved margins, lacking a distinct point, and a length:width ratio between 12:1 and 6:1.",NA,leaf_shape_linear_elliptical
narrowly_elliptical,leaf_shape,"A 2-dimensional shape that is a narrow oval, with curved margins, lacking a distinct point, and a length:width ratio between 6:1 and 3:1.",NA,leaf_shape_narrowly_elliptical
elliptical,leaf_shape,"A 2-dimensional shape that is an oval, with curved margins, lacking a distinct point, and a length:width ratio between 2:1 and 3:2.",oval,leaf_shape_elliptical
widely_elliptical,leaf_shape,"A 2-dimensional shape that is a broad oval, with curved margins, lacking a distinct point, and a length:width ratio of approximately 6:5.",NA,leaf_shape_widely_elliptical
orbicular,leaf_shape,A 2-dimensional shape that is approximately circular.,circular,leaf_shape_orbicular
oblate,leaf_shape,"A 2-dimensional shape that is a broad oval, with curved margins, lacking a distinct point, and a length:width ratio of approximately 5:6. The petiole attaches along the broader side.",NA,leaf_shape_oblate
narrowly_lanceolate,leaf_shape,"A 2-dimensional shape that is very narrowly egg-shaped or teardrop-shaped, with a length:width ratio between 12:1 and 6:1. The petiole attaches near the wide, curved portion of the leaf lamina.",NA,leaf_shape_narrowly_lanceolate
lanceolate,leaf_shape,"A 2-dimensional shape that is narrowly egg-shaped or teardrop-shaped, with a length:width ratio between 6:1 and 3:1. The petiole attaches near the wide, curved portion of the leaf lamina.",NA,leaf_shape_lanceolate
narrowly_ovate,leaf_shape,"A 2-dimensional shape that is narrowly egg-shaped, with a length:width ratio between 3:1 and 2:1. The petiole attaches near the wide, curved portion of the leaf lamina.","lance_ovate, widely_lanceolate",leaf_shape_narrowly_ovate
ovate,leaf_shape,"A 2-dimensional shape that is egg-shaped, with a length:width ratio between 2:1 and 3:2. The petiole attaches near the wide, curved portion of the leaf lamina.",NA,leaf_shape_ovate
widely_ovate,leaf_shape,"A 2-dimensional shape that is broadly egg-shaped with a length:width ratio of approximately 6:5. The petiole attaches near the wide, curved portion of the leaf lamina.",NA,leaf_shape_widely_ovate
narrowly_oblanceolate,leaf_shape,"A 2-dimensional shape that is very narrowly teardrop-shaped, with a length:width ratio between 12:1 and 6:1. The leaf lamina has curved outer margins and narrows nearly to a point where it attaches to the petiole.",linear_oblanceolate,leaf_shape_narrowly_oblanceolate
oblanceolate,leaf_shape,"A 2-dimensional shape that is narrowly teardrop-shaped, with a length:width ratio between 6:1 and 3:1. The leaf lamina has curved outer margins and narrows nearly to a point where it attaches to the petiole.",NA,leaf_shape_oblanceolate
narrowly_obovate,leaf_shape,A 2-dimensional shape that is narrowly egg-shaped or teardrop-shaped with a length:width ratio between 3:1 and 2:1. The leaf lamina has curved outer margins and narrows nearly to a point where it attaches to the petiole.,oblance-obovate,leaf_shape_narrowly_obovate
obovate,leaf_shape,A 2-dimensional shape that is egg-shaped with a length:width ratio between 2:1 and 3:2. The leaf lamina has curved outer margins and narrows nearly to a point where it attaches to the petiole.,NA,leaf_shape_obovate
widely_obovate,leaf_shape,A 2-dimensional shape that is broadly egg-shaped with a length:width ratio of approximately 6:5. The leaf lamina has curved outer margins and narrows nearly to a point where it attaches to the petiole.,NA,leaf_shape_widely_obovate
narrowly_triangular,leaf_shape,"A 2-dimensional shape that is narrowly triangular to wedge-shaped, with a length:width ratio 6:1 to 3:1 and the petiole attaching near the widest portion of the leaf.",triangular,leaf_shape_narrowly_triangular
triangular,leaf_shape,"A 2-dimensional shape that is triangular to wedge-shaped, with a length:width ratio 2:1 to 3:2 and the petiole attaching near the widest portion of the leaf.",NA,leaf_shape_triangular
deltate,leaf_shape,"A 2-dimensional shape that is triangular to wedge-shaped, with a length:width ratio of 1:1 and the petiole attaching along one of the broad sides.",NA,leaf_shape_deltate
obtriangular,leaf_shape,"A 2-dimensional shape that is triangular to fan-shaped or wedge-shaped, with a length:width ratio 2:1 to 3:2 and the petiole attaching near the narrowest portion of the leaf.","flabelliform, fan-shaped, wedge-shaped, cuneate",leaf_shape_obtriangular
narrowly_rhomboidal,leaf_shape,"A 2-dimensional shape that is like a narrow diamond, with approximately straight edges, widest near the middle, and a length:width ratio 6:1 to 3:1. The petiole attaches near one of the points.",NA,leaf_shape_narrowly_rhomboidal
rhomboidal,leaf_shape,"A 2-dimensional shape that is approximately diamond or parallelogram-shaped, with approximately straight edges, widest near the middle, and a length:width ratio 2:1 to 3:2. The petiole attaches near one of the points.","rhombic, diamond",leaf_shape_rhomboidal
trullate,leaf_shape,"A 2-dimensional shape that is approximately parallelogram-shaped, widest near where the petiole attaches (base), and with a length:width ratio 2:1 to 3:2.",NA,leaf_shape_trullate
narrowly_obtrullate,leaf_shape,"A 2-dimensional shape that is narrowly parallelogram-shaped, widest near the tip, and with a length:width ratio 3:1 to 6:1.",NA,leaf_shape_narrowly_obtrullate
obtrullate,leaf_shape,"A 2-dimensional shape that is approximately parallelogram-shaped, widest near the tip, and with a length:width ratio 2:1 to 3:2.",NA,leaf_shape_obtrullate
widely_obtrullate,leaf_shape,"A 2-dimensional shape that is broadly parallelogram-shaped, widest near the tip, and with a length:width ratio of approximately 6:5.",NA,leaf_shape_widely_obtrullate
acicular,leaf_shape,"A 2-dimensional or 3-dimensional shape with a needlelike tip, often round in cross-section, with margins straight and parallel, and a length:width ratio greater than 12:1.",needle-shaped,leaf_shape_acicular
terete,leaf_shape,"A 3-dimensional shape that is a long, narrow cylinder approximately circular in cross-section. Terete leaves often taper toward the tip.",cylindrical,leaf_shape_terete
cordate,leaf_shape,"A 2-dimensional heart shape, approximately ovate with a cordate base, with the petiole attaching at the notch between the lobes.",cordiform,leaf_shape_cordate
obcordate,leaf_shape,"A 2-dimensional heart shape, approximately ovate with a cordate apex, and the petiole attaching along the broad, curve side.",NA,leaf_shape_obcordate
