Subject,Predicate,Object
<http://purl.obolibrary.org/obo/TO_0006062>,<http://purl.org/dc/terms/description>,'The average width of a plant measured across an axis such as the main stem/stalk.'@en
<http://purl.obolibrary.org/obo/TO_0006062>,<http://purl.org/dc/elements/1.1/identifier>,'TO_0006062'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0006062>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0006066>,<http://www.w3.org/2000/01/rdf-schema#label>,'leaf trichome density'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0006066>,<http://purl.org/dc/terms/description>,'Measurement of trichomes found in per unit area of a leaf.'@en
<http://purl.obolibrary.org/obo/TO_0006066>,<http://purl.org/dc/elements/1.1/identifier>,'TO_0006066'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0006066>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0020016>,<http://www.w3.org/2000/01/rdf-schema#label>,'seed texture'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0020016>,<http://purl.org/dc/terms/description>,'A seed morphology trait (TO:0000184) which is the texture of a seed (PO:0009010).'@en
<http://purl.obolibrary.org/obo/TO_0020016>,<http://purl.org/dc/elements/1.1/identifier>,'TO_0020016'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0020016>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0020027>,<http://www.w3.org/2000/01/rdf-schema#label>,'apical axillary primary branch number'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0020027>,<http://purl.org/dc/terms/description>,'[no definition]'@en
<http://purl.obolibrary.org/obo/TO_0020027>,<http://purl.org/dc/elements/1.1/identifier>,'TO_0020027'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0020027>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0020076>,<http://www.w3.org/2000/01/rdf-schema#label>,'phenolic compound content'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0020076>,<http://purl.org/dc/terms/description>,"'Amount of phenolics present in the plant part, whole plant or product.'@en"
<http://purl.obolibrary.org/obo/TO_0020076>,<http://purl.org/dc/elements/1.1/identifier>,'TO_0020076'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0020076>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_1000002>,<http://www.w3.org/2000/01/rdf-schema#label>,"'secondary xylem volumetric density, wood volumetric density'^^[xsd:string]"
<http://purl.obolibrary.org/obo/TO_1000002>,<http://purl.org/dc/terms/description>,'A trait which is associated with the volumetric density of a secondary xylem.'@en
<http://purl.obolibrary.org/obo/TO_1000002>,<http://purl.org/dc/elements/1.1/identifier>,'TO_1000002'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_1000002>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0000499>,<http://www.w3.org/2000/01/rdf-schema#label>,'flower morphology trait'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0000499>,<http://purl.org/dc/terms/description>,'A reproductive shoot system morphology trait (TO:0000786) which is a quality of a flower (PO:0009046).'@en
<http://purl.obolibrary.org/obo/TO_0000499>,<http://purl.org/dc/elements/1.1/identifier>,'TO_0000499'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0000499>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0000077>,<http://www.w3.org/2000/01/rdf-schema#label>,'shoot system morphology trait'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0000077>,<http://purl.org/dc/terms/description>,'A collective plant organ structure morphology trait (TO:0000842) which is a quality of a shoot system (PO:0009006).'@en
<http://purl.obolibrary.org/obo/TO_0000077>,<http://purl.org/dc/elements/1.1/identifier>,'TO_0000077'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0000077>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0000775>,<http://www.w3.org/2000/01/rdf-schema#label>,'plant embryo cotyledon morphology trait'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0000775>,<http://purl.org/dc/terms/description>,'A cotyledon morphology trait (TO:0000749) which is a quality of a plant embryo cotyledon (PO:0025470).'@en
<http://purl.obolibrary.org/obo/TO_0000775>,<http://purl.org/dc/elements/1.1/identifier>,'TO_0000775'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0000775>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0000985>,<http://www.w3.org/2000/01/rdf-schema#label>,'root system morphology trait'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0000985>,<http://purl.org/dc/terms/description>,'A collective plant organ structure morphology trait (TO:0000842) which is a quality of a root system (PO:0025025).'@en
<http://purl.obolibrary.org/obo/TO_0000985>,<http://purl.org/dc/elements/1.1/identifier>,'TO_0000985'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0000985>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0012004>,<http://www.w3.org/2000/01/rdf-schema#label>,'quantum yield'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0012004>,<http://purl.org/dc/terms/description>,'[no definition]'@en
<http://purl.obolibrary.org/obo/TO_0012004>,<http://purl.org/dc/elements/1.1/identifier>,'TO_0012004'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0012004>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0002725>,<http://www.w3.org/2000/01/rdf-schema#label>,'life cycle habit'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0002725>,<http://purl.org/dc/terms/description>,"'Determined for type of life cycle being annual, biannual, perennial etc.'@en"
<http://purl.obolibrary.org/obo/TO_0002725>,<http://purl.org/dc/elements/1.1/identifier>,'TO_0002725'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0002725>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0003074>,<http://www.w3.org/2000/01/rdf-schema#label>,'root nitrogen content'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0003074>,<http://purl.org/dc/terms/description>,'A nitrogen content trait (TO:0020093) which is the amount of nitrogen (CHEBI:51143) in a root (PO:0009005).'@en
<http://purl.obolibrary.org/obo/TO_0003074>,<http://purl.org/dc/elements/1.1/identifier>,'TO_0003074'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0003074>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_1000043>,<http://www.w3.org/2000/01/rdf-schema#label>,'root system phosphorus content'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_1000043>,<http://purl.org/dc/terms/description>,'A phosphorus content trait TO:0001024 which is the phosphorus cation (CHEBI:33467) composition in a root system (PO:0025025).'@en
<http://purl.obolibrary.org/obo/TO_1000043>,<http://purl.org/dc/elements/1.1/identifier>,'TO_1000043'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_1000043>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0002666>,<http://www.w3.org/2000/01/rdf-schema#label>,'seed phosphorus content'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0002666>,<http://purl.org/dc/terms/description>,'Amount of phosphorus in the seed.'@en
<http://purl.obolibrary.org/obo/TO_0002666>,<http://purl.org/dc/elements/1.1/identifier>,'TO_0002666'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0002666>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0003076>,<http://www.w3.org/2000/01/rdf-schema#label>,'stem phosphorus content'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0003076>,<http://purl.org/dc/terms/description>,'A phosphorus content trait (TO:0001024) which is the amount of phosphorus cation (CHEBI:33467) in a stem (PO:0009047).'@en
<http://purl.obolibrary.org/obo/TO_0003076>,<http://purl.org/dc/elements/1.1/identifier>,'TO_0003076'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0003076>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0003088>,<http://www.w3.org/2000/01/rdf-schema#label>,'leaf carbon content'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0003088>,<http://purl.org/dc/terms/description>,'A carbon content trait (TO:0000466) which is the amount of carbon (CHEBI:27594) in a leaf (PO:0025034).'@en
<http://purl.obolibrary.org/obo/TO_0003088>,<http://purl.org/dc/elements/1.1/identifier>,'TO_0003088'^^[xsd:string]
<http://purl.obolibrary.org/obo/TO_0003088>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/PO_0025539>,<http://www.w3.org/2000/01/rdf-schema#label>,'xylem sap'^^[xsd:string]
<http://purl.obolibrary.org/obo/PO_0025539>,<http://purl.org/dc/terms/description>,"'A plant sap (PO:0025538) that is an aqueous solution which may contain mineral elements, nutrients, and plant hormones, and is transported from the root system (PO:0025025) toward the leaves through the tracheary elements (PO:0000290) of the xylem.'@en"
<http://purl.obolibrary.org/obo/PO_0025539>,<http://purl.org/dc/elements/1.1/identifier>,'PO_0025539'^^[xsd:string]
<http://purl.obolibrary.org/obo/PO_0025539>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/UBERON_0000119>,<http://www.w3.org/2000/01/rdf-schema#label>,'cell layer'^^[xsd:string]
<http://purl.obolibrary.org/obo/UBERON_0000119>,<http://purl.org/dc/terms/description>,"'Portion of tissue, that consists of single layer of cells connected to each other by cell junctions.'@en"
<http://purl.obolibrary.org/obo/UBERON_0000119>,<http://purl.org/dc/elements/1.1/identifier>,'UBERON_0000119'^^[xsd:string]
<http://purl.obolibrary.org/obo/UBERON_0000119>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/UBERON_0005156>,<http://www.w3.org/2000/01/rdf-schema#label>,'reproductive structure'^^[xsd:string]
<http://purl.obolibrary.org/obo/UBERON_0005156>,<http://purl.org/dc/terms/description>,'Any anatomical structure that is part of the reproductive system.'@en
<http://purl.obolibrary.org/obo/UBERON_0005156>,<http://purl.org/dc/elements/1.1/identifier>,'UBERON_0005156'^^[xsd:string]
<http://purl.obolibrary.org/obo/UBERON_0005156>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/UBERON_0007023>,<http://www.w3.org/2000/01/rdf-schema#label>,'adult (adult organism)'^^[xsd:string]
<http://purl.obolibrary.org/obo/UBERON_0007023>,<http://purl.org/dc/terms/description>,'A multicellular organism that existence_ends_with a post-juvenile adult stage and existence_starts_with a post-juvenile adult stage.'@en
<http://purl.obolibrary.org/obo/UBERON_0007023>,<http://purl.org/dc/elements/1.1/identifier>,'UBERON_0007023'^^[xsd:string]
<http://purl.obolibrary.org/obo/UBERON_0007023>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/UO_0000003>,<http://www.w3.org/2000/01/rdf-schema#label>,'time unit'^^[xsd:string]
<http://purl.obolibrary.org/obo/UO_0000003>,<http://purl.org/dc/terms/description>,'A unit which is a standard measure of the dimension in which events occur in sequence.'@en
<http://purl.obolibrary.org/obo/UO_0000003>,<http://purl.org/dc/elements/1.1/identifier>,'UO_0000003'^^[xsd:string]
<http://purl.obolibrary.org/obo/UO_0000003>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/UO_0000035>,<http://www.w3.org/2000/01/rdf-schema#label>,'month'^^[xsd:string]
<http://purl.obolibrary.org/obo/UO_0000035>,<http://purl.org/dc/terms/description>,'A time unit which is approximately equal to the length of time of one of cycle of the moon's phases which in science is taken to be equal to 30 days.'@en
<http://purl.obolibrary.org/obo/UO_0000035>,<http://purl.org/dc/elements/1.1/identifier>,'UO_0000035'^^[xsd:string]
<http://purl.obolibrary.org/obo/UO_0000035>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/UO_0000185>,<http://www.w3.org/2000/01/rdf-schema#label>,'degree'^^[xsd:string]
<http://purl.obolibrary.org/obo/UO_0000185>,<http://purl.org/dc/terms/description>,'A plane angle unit which is equal to 1/360 of a full rotation or 1.7453310^[-2] rad.'@en
<http://purl.obolibrary.org/obo/UO_0000185>,<http://purl.org/dc/elements/1.1/identifier>,'UO_0000185'^^[xsd:string]
<http://purl.obolibrary.org/obo/UO_0000185>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.obolibrary.org/obo/XCO_0000000>,<http://www.w3.org/2000/01/rdf-schema#label>,'experimental condition'^^[xsd:string]
<http://purl.obolibrary.org/obo/XCO_0000000>,<http://purl.org/dc/terms/description>,"'A state of being, an external or environmental factor or a treatment observed or administered prior to or concurrent with an investigative procedure such as an assessment of a morphological or physiological state or property in a single individual or sample or in a group of individuals or samples, especially a state, factor or treatment which has the potential to influence the outcome of such an assessment.'@en"
<http://purl.obolibrary.org/obo/XCO_0000000>,<http://purl.org/dc/elements/1.1/identifier>,'XCO_0000000'^^[xsd:string]
<http://purl.obolibrary.org/obo/XCO_0000000>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.obolibrary.org/obo/'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00000310>,<http://www.w3.org/2000/01/rdf-schema#label>,'community'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00000310>,<http://purl.org/dc/terms/description>,"'In ecology, a community is an assemblage of two or more populations of different species occupying the same geographical area. (wikipedia) An ecological unit composed of a group of organisms or a population of different species occupying a particular area, usually interacting with each other and their environment.'@en"
<http://purl.dataone.org/odo/ECSO_00000310>,<http://purl.org/dc/elements/1.1/identifier>,'ECSO_00000310'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00000310>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.dataone.org/odo/'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00000549>,<http://www.w3.org/2000/01/rdf-schema#label>,'tree diameter at breast height'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00000549>,<http://purl.org/dc/terms/description>,"'Domain protocol for measuring the diameter of a tree. Measured at a specified, average distance from the ground, eg 4.5 ft [or average person's breast height]. May be measured as circumference, then divided by pi.'@en"
<http://purl.dataone.org/odo/ECSO_00000549>,<http://purl.org/dc/elements/1.1/identifier>,'ECSO_00000549'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00000549>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.dataone.org/odo/'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00000619>,<http://www.w3.org/2000/01/rdf-schema#label>,'mass fraction'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00000619>,<http://purl.org/dc/terms/description>,"'Ratio of the mass of a substance to the total mass of a mixture. With a denominator of 100, mass fraction can also be expressed as percentage by mass'@en"
<http://purl.dataone.org/odo/ECSO_00000619>,<http://purl.org/dc/elements/1.1/identifier>,'ECSO_00000619'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00000619>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.dataone.org/odo/'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00000620>,<http://www.w3.org/2000/01/rdf-schema#label>,'mass fraction of carbon dioxide'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00000620>,<http://purl.org/dc/terms/description>,'Ratio of the mass of carbon dioxide to the total mass of a mixture.'@en
<http://purl.dataone.org/odo/ECSO_00000620>,<http://purl.org/dc/elements/1.1/identifier>,'ECSO_00000620'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00000620>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.dataone.org/odo/'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00000669>,<http://www.w3.org/2000/01/rdf-schema#label>,'d13C'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00000669>,<http://purl.org/dc/terms/description>,"'Note that this measurement uses the lowercase Greek letter delta [δ]. A stable carbon isotope ratio, which is a measure of the ratio of stable isotopes 13C and 12C.'@en"
<http://purl.dataone.org/odo/ECSO_00000669>,<http://purl.org/dc/elements/1.1/identifier>,'ECSO_00000669'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00000669>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.dataone.org/odo/'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001142>,<http://www.w3.org/2000/01/rdf-schema#label>,'carbon stable isotope ratio'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001142>,<http://purl.org/dc/terms/description>,"'An isotopic signature is a ratio of non-radiogenic 'stable isotopes', stable radiogenic isotopes, or unstable radioactive isotopes of particular elements in an investigated material. The ratios of isotopes in a sample material are measured by isotope ratio mass spectrometry. The atomic mass of different isotopes affect their chemical kinetic behavior, leading to natural isotope separation processes. For example, different sources and sinks of methane have different affinity for the 12C and 13C isotopes, which allows distinguishing between different sources by the 13C/12C ratio in methane in the air.'@en"
<http://purl.dataone.org/odo/ECSO_00001142>,<http://purl.org/dc/elements/1.1/identifier>,'ECSO_00001142'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001142>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.dataone.org/odo/'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001160>,<http://www.w3.org/2000/01/rdf-schema#label>,'count density'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001160>,<http://purl.org/dc/terms/description>,'Number density is an intensive quantity used to describe the degree of concentration of countable objects in a given physical space.'@en
<http://purl.dataone.org/odo/ECSO_00001160>,<http://purl.org/dc/elements/1.1/identifier>,'ECSO_00001160'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001160>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.dataone.org/odo/'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001671>,<http://www.w3.org/2000/01/rdf-schema#label>,'d18O in water'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001671>,<http://purl.org/dc/terms/description>,'[no definition]'@en
<http://purl.dataone.org/odo/ECSO_00001671>,<http://purl.org/dc/elements/1.1/identifier>,'ECSO_00001671'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001671>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.dataone.org/odo/'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001677>,<http://www.w3.org/2000/01/rdf-schema#label>,'d18O'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001677>,<http://purl.org/dc/terms/description>,'A stable oxygen isotope ratio which is the ratio of oxygen 18 and oxygen 16. Note that this measurement uses the lower case Greek letter delta [δ].'@en
<http://purl.dataone.org/odo/ECSO_00001677>,<http://purl.org/dc/elements/1.1/identifier>,'ECSO_00001677'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001677>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.dataone.org/odo/'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001737>,<http://www.w3.org/2000/01/rdf-schema#label>,'stable nitrogen isotope ratio'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001737>,<http://purl.org/dc/terms/description>,'[no definition]'@en
<http://purl.dataone.org/odo/ECSO_00001737>,<http://purl.org/dc/elements/1.1/identifier>,'ECSO_00001737'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001737>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.dataone.org/odo/'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001738>,<http://www.w3.org/2000/01/rdf-schema#label>,'d15N'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001738>,<http://purl.org/dc/terms/description>,'A stable nitrogen isotope ratio of nitrogen 15 to nitrogen 14. Note that this measurement uses the lower case Greek delta [δ]'@en
<http://purl.dataone.org/odo/ECSO_00001738>,<http://purl.org/dc/elements/1.1/identifier>,'ECSO_00001738'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001738>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.dataone.org/odo/'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001740>,<http://www.w3.org/2000/01/rdf-schema#label>,'stable oxygen isotope ratio'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001740>,<http://purl.org/dc/terms/description>,'[no definition]'@en
<http://purl.dataone.org/odo/ECSO_00001740>,<http://purl.org/dc/elements/1.1/identifier>,'ECSO_00001740'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00001740>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.dataone.org/odo/'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00002723>,<http://www.w3.org/2000/01/rdf-schema#label>,'solar zenith angle'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00002723>,<http://purl.org/dc/terms/description>,'[no definition]'@en
<http://purl.dataone.org/odo/ECSO_00002723>,<http://purl.org/dc/elements/1.1/identifier>,'ECSO_00002723'^^[xsd:string]
<http://purl.dataone.org/odo/ECSO_00002723>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.dataone.org/odo/'^^[xsd:string]
<http://purl.dataone.org/odo/MOSAIC_00000974>,<http://www.w3.org/2000/01/rdf-schema#label>,'Spectroradiometer'^^[xsd:string]
<http://purl.dataone.org/odo/MOSAIC_00000974>,<http://purl.org/dc/terms/description>,'[no definition]'@en
<http://purl.dataone.org/odo/MOSAIC_00000974>,<http://purl.org/dc/elements/1.1/identifier>,'MOSAIC_00000974'^^[xsd:string]
<http://purl.dataone.org/odo/MOSAIC_00000974>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://purl.dataone.org/odo/'^^[xsd:string]
<http://www.ontology-of-units-of-measure.org/resource/om-2/DryMass>,<http://www.w3.org/2000/01/rdf-schema#label>,'dry mass'^^[xsd:string]
<http://www.ontology-of-units-of-measure.org/resource/om-2/DryMass>,<http://purl.org/dc/terms/description>,'[no definition]'@en
<http://www.ontology-of-units-of-measure.org/resource/om-2/DryMass>,<http://purl.org/dc/elements/1.1/identifier>,'DryMass'^^[xsd:string]
<http://www.ontology-of-units-of-measure.org/resource/om-2/DryMass>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://www.ontology-of-units-of-measure.org/resource/om-2/'^^[xsd:string]
<http://semanticscience.org/resource/SIO_000384>,<http://www.w3.org/2000/01/rdf-schema#label>,'emit'^^[xsd:string]
<http://semanticscience.org/resource/SIO_000384>,<http://purl.org/dc/terms/description>,"'to emit is the capability to release some physical entity (light, pollution, etc).'@en"
<http://semanticscience.org/resource/SIO_000384>,<http://purl.org/dc/elements/1.1/identifier>,'SIO_000384'^^[xsd:string]
<http://semanticscience.org/resource/SIO_000384>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://semanticscience.org/resource/'^^[xsd:string]
<http://semanticscience.org/resource/SIO_010418>,<http://www.w3.org/2000/01/rdf-schema#label>,'solute'^^[xsd:string]
<http://semanticscience.org/resource/SIO_010418>,<http://purl.org/dc/terms/description>,'A solute is a substance that becomes dissolved in a solvent.'@en
<http://semanticscience.org/resource/SIO_010418>,<http://purl.org/dc/elements/1.1/identifier>,'SIO_010418'^^[xsd:string]
<http://semanticscience.org/resource/SIO_010418>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://semanticscience.org/resource/'^^[xsd:string]
<http://semanticscience.org/resource/SIO_000879>,<http://www.w3.org/2000/01/rdf-schema#label>,'reactant'^^[xsd:string]
<http://semanticscience.org/resource/SIO_000879>,<http://purl.org/dc/terms/description>,'The role of a chemical entity present at the beginning of a chemical reaction.'@en
<http://semanticscience.org/resource/SIO_000879>,<http://purl.org/dc/elements/1.1/identifier>,'SIO_000879'^^[xsd:string]
<http://semanticscience.org/resource/SIO_000879>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://semanticscience.org/resource/'^^[xsd:string]
<http://semanticscience.org/resource/SIO_010363>,<http://www.w3.org/2000/01/rdf-schema#label>,'product'^^[xsd:string]
<http://semanticscience.org/resource/SIO_010363>,<http://purl.org/dc/terms/description>,'[no definition]'@en
<http://semanticscience.org/resource/SIO_010363>,<http://purl.org/dc/elements/1.1/identifier>,'SIO_010363'^^[xsd:string]
<http://semanticscience.org/resource/SIO_010363>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://semanticscience.org/resource/'^^[xsd:string]
<http://semanticscience.org/resource/SIO_001106>,<http://www.w3.org/2000/01/rdf-schema#label>,'produce'^^[xsd:string]
<http://semanticscience.org/resource/SIO_001106>,<http://purl.org/dc/terms/description>,'to produce is the capability to create new objects'@en
<http://semanticscience.org/resource/SIO_001106>,<http://purl.org/dc/elements/1.1/identifier>,'SIO_001106'^^[xsd:string]
<http://semanticscience.org/resource/SIO_001106>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://semanticscience.org/resource/'^^[xsd:string]
<http://sweetontology.net/phenSolid/Bend>,<http://www.w3.org/2000/01/rdf-schema#label>,'bend'^^[xsd:string]
<http://sweetontology.net/phenSolid/Bend>,<http://purl.org/dc/terms/description>,'[no definition]'@en
<http://sweetontology.net/phenSolid/Bend>,<http://purl.org/dc/elements/1.1/identifier>,'Bend'^^[xsd:string]
<http://sweetontology.net/phenSolid/Bend>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://sweetontology.net/'^^[xsd:string]
<http://sweetontology.net/phenSolid/Deform>,<http://www.w3.org/2000/01/rdf-schema#label>,'deform'^^[xsd:string]
<http://sweetontology.net/phenSolid/Deform>,<http://purl.org/dc/terms/description>,'[no definition]'@en
<http://sweetontology.net/phenSolid/Deform>,<http://purl.org/dc/elements/1.1/identifier>,'Deform'^^[xsd:string]
<http://sweetontology.net/phenSolid/Deform>,<http://www.w3.org/2004/02/skos/core#inScheme>,'http://sweetontology.net/'^^[xsd:string]
<http://sweetontology.net/phenSolid/Fracture>,<http://www.w3.org/2000/01/rdf-schema#label>,'fracture'^^[xsd:string]
<http://sweetontology.net/phenSolid/Fracture>,<http://purl.org/dc/terms/description>,'[no definition]'@en
